TYPE,WDPAID,WDPA_PID,PA_DEF,NAME,ORIG_NAME,DESIG,DESIG_ENG,DESIG_TYPE,IUCN_CAT,INT_CRIT,MARINE,REP_M_AREA,GIS_M_AREA,REP_AREA,GIS_AREA,NO_TAKE,NO_TK_AREA,STATUS,STATUS_YR,GOV_TYPE,OWN_TYPE,MANG_AUTH,MANG_PLAN,VERIF,METADATAID,SUB_LOC,PARENT_ISO3,ISO3,SUPP_INFO,CONS_OBJ
Polygon,33434,33434,1,Wayu,Wayu,Forest Reserve,Forest Reserve,National,Not Reported,Not Applicable,0,0,0,425.122,320.7683729,Not Applicable,0,Designated,2013,Federal or national ministry or agency,State,Kenya Forest Service,Not Reported,State Verified,178,Not Reported,KEN,KEN,Not Applicable,Not Applicable
Polygon,555759492,555759492,1,Hewani,Hewani,Forest Reserve,Forest Reserve,National,Not Reported,Not Applicable,0,0,0,26.982,35.68251923,Not Applicable,0,Designated,2013,Federal or national ministry or agency,State,Kenya Forest Service,Not Reported,State Verified,178,Not Reported,KEN,KEN,Not Applicable,Not Applicable
Polygon,555759493,555759493,1,Kokani,Kokani,Forest Reserve,Forest Reserve,National,Not Reported,Not Applicable,0,0,0,614.955,588.3938936,Not Applicable,0,Designated,2013,Federal or national ministry or agency,State,Kenya Forest Service,Not Reported,State Verified,178,Not Reported,KEN,KEN,Not Applicable,Not Applicable
Polygon,555759494,555759494,1,Mwiina,Mwina,Forest Reserve,Forest Reserve,National,Not Reported,Not Applicable,0,0,0,33.472,37.39724084,Not Applicable,0,Designated,2013,Federal or national ministry or agency,State,Kenya Forest Service,Not Reported,State Verified,178,Not Reported,KEN,KEN,Not Applicable,Not Applicable
Polygon,555759495,555759495,1,Mbalambala,Mbalambala,Forest Reserve,Forest Reserve,National,Not Reported,Not Applicable,0,0,0,42.535,31.78738015,Not Applicable,0,Designated,2013,Federal or national ministry or agency,State,Kenya Forest Service,Not Reported,State Verified,178,Not Reported,KEN,KEN,Not Applicable,Not Applicable
Polygon,33429,33429,1,Hirimani,Hirimani,Forest Reserve,Forest Reserve,National,Not Reported,Not Applicable,0,0,0,980.205,939.2948762,Not Applicable,0,Designated,2017,Federal or national ministry or agency,State,Kenya Forest Service,Not Reported,State Verified,178,Not Reported,KEN,KEN,Not Applicable,Not Applicable
Polygon,7783,7783,1,Lambwe,Lambwe,Forest Reserve,Forest Reserve,National,Not Reported,Not Applicable,0,0,0,7.242,41.06321448,Not Applicable,0,Designated,2013,Federal or national ministry or agency,State,Kenya Forest Service,Not Reported,State Verified,178,Not Reported,KEN,KEN,Not Applicable,Not Applicable
Polygon,555759496,555759496,1,Wire,Wire,Forest Reserve,Forest Reserve,National,Not Reported,Not Applicable,0,0,0,3.873,6.814516562,Not Applicable,0,Designated,2013,Federal or national ministry or agency,State,Kenya Forest Service,Not Reported,State Verified,178,Not Reported,KEN,KEN,Not Applicable,Not Applicable
Polygon,555759498,555759498,1,Homa,Homa,Forest Reserve,Forest Reserve,National,Not Reported,Not Applicable,0,0,0,10.1008,12.21225425,Not Applicable,0,Designated,2017,Federal or national ministry or agency,State,Kenya Forest Service,Not Reported,State Verified,178,Not Reported,KEN,KEN,Not Applicable,Not Applicable
Polygon,555790229,555790229,1,Escarpment,Escarpment,Forest Reserve,Forest Reserve,National,Not Reported,Not Applicable,0,0,0,0.74,0.681900203,Not Applicable,0,Designated,1941,Federal or national ministry or agency,State,Kenya Forest Service,Not Reported,State Verified,178,Not Reported,KEN,KEN,Not Applicable,Not Applicable
